date,count
1958-07,1203.39
1958-08,1198.97
1958-09,1195.57
1958-10,1192.45
1958-11,1189.59
1958-12,1185.85
1959-01,1182.31
1959-02,1182.03
1959-03,1176.60
1959-04,1172.83
1959-05,1172.59
1959-06,1179.84
1959-07,1179.27
1959-08,1175.65
1959-09,1171.13
1959-10,1169.35
1959-11,1168.85
1959-12,1167.28
1960-01,1165.09
1960-02,1163.78
1960-03,1164.26
1960-04,1169.94
1960-05,1175.09
1960-06,1183.71
1960-07,1181.32
1960-08,1175.25
1960-09,1170.36
1960-10,1168.47
1960-11,1167.46
1960-12,1165.12
1961-01,1162.67
1961-02,1160.75
1961-03,1156.19
1961-04,1153.56
1961-05,1154.45
1961-06,1161.19
1961-07,1157.62
1961-08,1154.05
1961-09,1153.74
1961-10,1155.15
1961-11,1155.22
1961-12,1154.64
1962-01,1153.56
1962-02,1156.51
1962-03,1154.69
1962-04,1165.75
1962-05,1185.56
1962-06,1198.17
1962-07,1203.98
1962-08,1200.87
1962-09,1197.64
1962-10,1196.65
1962-11,1195.05
1962-12,1193.12
1963-01,1190.98
1963-02,1189.67
1963-03,1185.07
1963-04,1179.06
1963-05,1172.43
1963-06,1167.16
1963-07,1160.27
1963-08,1153.88
1963-09,1149.04
1963-10,1144.99
1963-11,1141.50
1963-12,1136.93
1964-01,1131.74
1964-02,1128.40
1964-03,1123.85
1964-04,1123.41
1964-05,1119.32
1964-06,1112.47
1964-07,1103.84
1964-08,1098.58
1964-09,1093.49
1964-10,1090.12
1964-11,1089.02
1964-12,1088.14
1965-01,1089.83
1965-02,1090.63
1965-03,1088.31
1965-04,1094.57
1965-05,1110.08
1965-06,1125.69
1965-07,1124.33
1965-08,1124.32
1965-09,1124.79
1965-10,1125.90
1965-11,1127.93
1965-12,1129.74
1966-01,1132.24
1966-02,1133.05
1966-03,1132.24
1966-04,1132.15
1966-05,1133.07
1966-06,1132.70
1966-07,1130.32
1966-08,1128.21
1966-09,1127.59
1966-10,1128.42
1966-11,1129.72
1966-12,1132.05
1967-01,1133.42
1967-02,1133.31
1967-03,1131.65
1967-04,1131.72
1967-05,1131.49
1967-06,1130.40
1967-07,1128.81
1967-08,1128.44
1967-09,1130.20
1967-10,1128.67
1967-11,1127.71
1967-12,1129.84
1968-01,1132.07
