date,count.0
2020-09-25,268046.0
2020-09-26,269091.0
2020-09-27,269879.0
2020-09-28,270514.0
2020-09-29,271688.0
2020-09-30,272802.0
2020-10-01,274020.0
2020-10-02,275257.0
2020-10-03,276296.0
2020-10-04,277197.0
2020-10-05,277901.0
2020-10-06,279282.0
2020-10-07,280361.0
2020-10-08,281593.0
2020-10-09,282765.0
2020-10-10,283962.0
2020-10-11,285094.0
2020-10-12,285813.0
2020-10-13,287249.0
2020-10-14,288462.0
2020-10-15,289735.0
2020-10-16,291046.0
2020-10-17,292322.0
2020-10-18,293381.0
2020-10-19,294133.0
2020-10-20,295835.0
2020-10-21,297317.0
2020-10-22,298804.0
2020-10-23,300140.0
2020-10-24,301513.0
2020-10-25,302592.0
2020-10-26,303409.0
2020-10-27,304981.0
2020-10-28,306407.0
2020-10-29,307785.0
2020-10-30,309244.0
2020-10-31,310861.0
2020-11-01,312294.0
2020-11-02,313662.0
2020-11-03,316222.0
2020-11-04,318565.0
2020-11-05,321015.0
2020-11-06,323315.0
2020-11-07,325667.0
2020-11-08,327631.0
2020-11-09,329133.0
2020-11-10,332253.0
2020-11-11,335342.0
2020-11-12,338586.0
2020-11-13,341940.0
2020-11-14,345679.0
2020-11-15,348799.0
2020-11-16,351498.0
2020-11-17,356526.0
2020-11-18,361254.0
2020-11-19,366191.0
2020-11-20,370905.0
2020-11-21,375973.0
2020-11-22,379848.0
2020-11-23,383013.0
2020-11-24,389282.0
2020-11-25,395368.0
2020-11-26,401662.0
2020-11-27,404680.0
2020-11-28,409812.0
2020-11-29,416310.0
2020-11-30,421220.0
2020-12-01,431590.0
2020-12-02,442239.0
2020-12-03,452571.0
2020-12-04,462571.0
2020-12-05,472649.0
2020-12-06,481234.0
2020-12-07,487003.0
2020-12-08,500528.0
2020-12-09,514145.0
2020-12-10,526788.0
2020-12-11,540200.0
2020-12-12,554107.0
2020-12-13,565857.0
2020-12-14,572596.0
2020-12-15,590092.0
2020-12-16,607651.0
2020-12-17,623956.0
2020-12-18,640412.0
2020-12-19,655974.0
2020-12-20,668041.0
2020-12-21,675071.0
2020-12-22,693069.0
2020-12-23,712068.0
2020-12-24,729268.0
2020-12-25,738270.0
2020-12-26,742414.0
2020-12-27,756026.0
2020-12-28,764528.0
2020-12-29,785920.0
2020-12-30,808206.0
2020-12-31,828328.0
2021-01-01,839164.0
2021-01-02,844431.0
2021-01-03,858499.0
2021-01-04,866768.0
2021-01-05,888670.0
2021-01-06,908684.0
2021-01-07,927351.0
2021-01-08,943233.0
2021-01-09,958093.0
2021-01-10,968858.0
2021-01-11,974383.0
2021-01-12,988922.0
2021-01-13,1002073.0
2021-01-14,1013688.0
2021-01-15,1024322.0
2021-01-16,1034357.0
2021-01-17,1041377.0
2021-01-18,1045443.0
2021-01-19,1052041.0
2021-01-20,1061520.0
2021-01-21,1070165.0
2021-01-22,1077632.0
2021-01-23,1084261.0
2021-01-24,1088693.0
2021-01-25,1091886.0
2021-01-26,1098237.0
2021-01-27,1104159.0
2021-01-28,1109407.0
2021-01-29,1114166.0
2021-01-30,1118050.0
2021-01-31,1121514.0
2021-02-01,1123876.0
2021-02-02,1128475.0
2021-02-03,1132282.0
2021-02-04,1135647.0
2021-02-05,1138709.0
2021-02-06,1141494.0
2021-02-07,1143584.0
2021-02-08,1144934.0
